agent-type,agent-id,stance?,received-IP-list,sent-IP-list,IdentitySignature,topic
basic-agents,ID-1,0,[],[],group-1,0
basic-agents,ID-2,0,[],[],group-2,0
basic-agents,ID-3,0,[],[],group-2,0
basic-agents,ID-4,0,[],[],group-1,0
basic-agents,ID-5,0,[],[],group-1,0
basic-agents,ID-6,0,[],[],group-1,0
basic-agents,ID-7,0,[],[],group-1,0
basic-agents,ID-8,0,[],[],group-1,0
basic-agents,ID-9,0,[],[],group-1,0
basic-agents,ID-10,0,[],[],group-2,0
basic-agents,ID-11,0,[],[],group-1,0
basic-agents,ID-12,0,[],[],group-2,0
basic-agents,ID-13,0,[],[],group-1,0
basic-agents,ID-14,0,[],[],group-2,0
basic-agents,ID-15,0,[],[],group-1,0
basic-agents,ID-16,0,[],[],group-1,0
basic-agents,ID-17,0,[],[],group-2,0
basic-agents,ID-18,0,[],[],group-2,0
basic-agents,ID-19,0,[],[],group-2,0
basic-agents,ID-20,0,[],[],group-1,0
basic-agents,ID-21,0,[],[],group-2,0
basic-agents,ID-22,0,[],[],group-2,0
basic-agents,ID-23,0,[],[],group-2,0
basic-agents,ID-24,0,[],[],group-2,0
basic-agents,ID-25,0,[],[],group-2,0
basic-agents,ID-26,0,[],[],group-2,0
basic-agents,ID-27,0,[],[],group-2,0
basic-agents,ID-28,0,[],[],group-2,0
basic-agents,ID-29,0,[],[],group-2,0
basic-agents,ID-30,0,[],[],group-1,0
basic-agents,ID-31,0,[],[],group-2,0
basic-agents,ID-32,0,[],[],group-1,0
basic-agents,ID-33,0,[],[],group-1,0
basic-agents,ID-34,0,[],[],group-1,0
basic-agents,ID-35,0,[],[],group-2,0
basic-agents,ID-36,0,[],[],group-2,0
basic-agents,ID-37,0,[],[],group-2,0
basic-agents,ID-38,0,[],[],group-2,0
basic-agents,ID-39,0,[],[],group-1,0
basic-agents,ID-40,0,[],[],group-1,0
information-diss-agents,ID-101,-3,[IP-1],[],0,topic-1
information-diss-agents,ID-102,3,[IP-2],[],0,topic-2
spokesperson-agents,ID-111,0,[],[],0,0
At tick 1
id of turtle,stance at tick 1,received-IP-list at tick 1,sent-IP-list at tick 1,topic at tick 1
ID-1,0,[],[],0
ID-2,0,[],[],0
ID-3,0,[],[],0
ID-4,3,[IP-2],[],topic-2
ID-5,0,[],[],0
ID-6,-3,[IP-1],[],topic-1
ID-7,0,[],[],0
ID-8,0,[],[],0
ID-9,0,[],[],0
ID-10,0,[],[],0
ID-11,0,[],[],0
ID-12,0,[],[],0
ID-13,0,[],[],0
ID-14,0,[],[],0
ID-15,0,[],[],0
ID-16,0,[],[],0
ID-17,0,[],[],0
ID-18,0,[],[],0
ID-19,0,[],[],0
ID-20,0,[],[],0
ID-21,0,[],[],0
ID-22,0,[],[],0
ID-23,0,[],[],0
ID-24,0,[],[],0
ID-25,0,[],[],0
ID-26,0,[],[],0
ID-27,0,[],[],0
ID-28,0,[],[],0
ID-29,0,[],[],0
ID-30,0,[],[],0
ID-31,0,[],[],0
ID-32,0,[],[],0
ID-33,0,[],[],0
ID-34,0,[],[],0
ID-35,0,[],[],0
ID-36,0,[],[],0
ID-37,0,[],[],0
ID-38,0,[],[],0
ID-39,0,[],[],0
ID-40,-3,[IP-1],[],topic-1
ID-101,-3,[IP-1],[IP-1],topic-1
ID-102,3,[IP-2],[IP-2],topic-2
ID-111,0,[],[],0
At tick 2
id of turtle,stance at tick 2,received-IP-list at tick 2,sent-IP-list at tick 2,topic at tick 2
ID-1,0,[],[],0
ID-2,0,[],[],0
ID-3,-3,[IP-1],[],topic-1
ID-4,3,[IP-2],[],topic-2
ID-5,0,[],[],0
ID-6,-3,[IP-1],[IP-1],topic-1
ID-7,0,[],[],0
ID-8,0,[],[],0
ID-9,0,[],[],0
ID-10,0,[],[],0
ID-11,-3,[IP-1],[],topic-1
ID-12,0,[],[],0
ID-13,0,[],[],0
ID-14,-3,[IP-1],[],topic-1
ID-15,-3,[IP-1],[],topic-1
ID-16,0,[],[],0
ID-17,0,[],[],0
ID-18,0,[],[],0
ID-19,-3,[IP-1],[],topic-1
ID-20,3,[IP-2],[],topic-2
ID-21,0,[],[],0
ID-22,0,[],[],0
ID-23,0,[],[],0
ID-24,0,[],[],0
ID-25,0,[],[],0
ID-26,-3,[IP-1],[],topic-1
ID-27,0,[],[],0
ID-28,0,[],[],0
ID-29,0,[],[],0
ID-30,-3,[IP-1],[],topic-1
ID-31,0,[],[],0
ID-32,0,[],[],0
ID-33,0,[],[],0
ID-34,0,[],[],0
ID-35,0,[],[],0
ID-36,0,[],[],0
ID-37,3,[IP-2],[],topic-2
